0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
481,,14,34,20,54,Ca,-25160.587,48.438,8247.4967,0.897,9277.3463,50.4129,53972989,52,0
482,,12,33,21,54,Sc,-34437.934,13.973,8404.8115,0.2588,11305.8789,21.1188,53963029.36,15,0
483,,10,32,22,54,Ti,-45743.812,15.835,8599.6917,0.2932,4154.4548,19.384,53950892,17,0
484,,8,31,23,54,V,-49898.267,11.18,8662.1382,0.207,7037.1118,11.1794,53946432.01,12.001,0
485,,6,30,24,54,Cr,-56935.379,0.132,8777.9672,0.0025,-1377.1325,1.0051,53938877.36,0.142,0
486,,4,29,25,54,Mn,-55558.247,1.007,8737.9768,0.0186,696.3688,1.0587,53940355.77,1.08,0
487,,2,28,26,54,Fe,-56254.615,0.343,8736.3846,0.0064,-8244.5478,0.0893,53939608.19,0.368,0
488,,0,27,27,54,Co,-48010.068,0.355,8569.2199,0.0066,-8731.7558,4.671,53948459.08,0.38,0
489,,-2,26,28,54,Ni,-39278.312,4.657,8393.0328,0.0862,-18038,400,53957833,5,0
490,,-4,25,29,54,Cu,-21240,400,8045,7,-15538,454,53977198,429,1
491,,-6,24,30,54,Zn,-5702,217,7742,4,,,53993879,232,1
492,0,17,36,19,55,K,470,500,7792,9,19121,525,55000505,537,1
493,,15,35,20,55,Ca,-18650.375,160.217,8125.926,2.913,12191.7329,171.9435,54979978,172,0
494,,13,34,21,55,Sc,-30842.108,62.411,8333.3694,1.1347,10990.3608,68.7671,54966889.64,67,0
495,,11,33,22,55,Ti,-41832.469,28.876,8518.9696,0.525,7292.6673,39.5419,54955091,31,0
496,,9,32,23,55,V,-49125.136,27.013,8637.3391,0.4912,5985.1877,27.0143,54947262,29,0
497,,7,31,24,55,Cr,-55110.324,0.228,8731.9362,0.0042,2602.2183,0.3219,54940836.64,0.245,0
498,,5,30,25,55,Mn,-57712.542,0.26,8765.0247,0.0047,-231.1204,0.1786,54938043.04,0.279,0
499,,3,29,26,55,Fe,-57481.422,0.308,8746.5981,0.0056,-3451.4254,0.3241,54938291.16,0.33,0
